all_datetime,03805_PRV_1,03805_PRV_2,3807_1,03808_1_1,03808_2_1,3809_1,3810_1,3811_1,3812_1,03814_1_1,03814_2_1
2020-01-14 16:30:00,,,,,,,,17.36,,,
2020-01-14 16:45:00,,,,,,,,16.64,,,
2020-01-14 17:00:00,,,,,,,,21.48,,,
2020-01-14 17:15:00,,,,,,,,18,,,
2020-01-14 17:30:00,,,,,,,,19.2,,,
2020-01-14 17:45:00,,,,,,,,18.6,,,
2020-01-14 18:00:00,,,,,,,,18.4,,,
2020-01-14 18:15:00,,,,,,,,20.64,,,
2020-01-14 18:30:00,,,,,,,,19.08,,,
2020-01-14 18:45:00,,,,,,,,20.04,,,
2020-01-14 19:00:00,,,,,,,,17.56,,,
2020-01-14 19:15:00,,,,,,,,20.2,,,
2020-01-14 19:30:00,,,,,,,,19.64,,,
2020-01-14 19:45:00,,,,,,,,15.6,,,
2020-01-14 20:00:00,,,,,,,,16.56,,,
2020-01-14 20:15:00,,,,,,,,19.84,,,
2020-01-14 20:30:00,,,,,,,,16.12,,,
2020-01-14 20:45:00,,,,,,,,17.48,,,
2020-01-14 21:00:00,,,,,,,,18.6,,,
2020-01-14 21:15:00,,,,,,,,15.48,,,
2020-01-14 21:30:00,,,,,,,,14.32,,,
2020-01-14 21:45:00,,,,,,,,14.8,,,
2020-01-14 22:00:00,,,,,,,,11.64,,,
2020-01-14 22:15:00,,,,,,,,14.28,,,
2020-01-14 22:30:00,,,,,,,,12.44,,,
2020-01-14 22:45:00,,,,,,,,8.84,,,
2020-01-14 23:00:00,,,,,,,,10.64,,,
2020-01-14 23:15:00,,,,,,,,8.96,,,
2020-01-14 23:30:00,,,,,,,,6.28,,,
2020-01-14 23:45:00,,,,,,,,7.16,,,
2020-01-15 00:00:00,,,,,,,,5.6,,,
2020-01-15 00:15:00,,,,,,,,5.4,,,
2020-01-15 00:30:00,,,,,,,,5.12,,,
2020-01-15 00:45:00,,,,,,,,4.6,,,
2020-01-15 01:00:00,,,,,,,,3.72,,,
2020-01-15 01:15:00,,,,,,,,3.88,,,
2020-01-15 01:30:00,,,,,,,,3.96,,,
2020-01-15 01:45:00,,,,,,,,4.08,,,
2020-01-15 02:00:00,,,,,,,,3.36,,,
2020-01-15 02:15:00,,,,,,,,3.76,,,
2020-01-15 02:30:00,,,,,,,,3.52,,,
2020-01-15 02:45:00,,,,,,,,3.36,,,
2020-01-15 03:00:00,,,,,,,,3.36,,,
2020-01-15 03:15:00,,,,,,,,3.24,,,
2020-01-15 03:30:00,,,,,,,,3.12,,,
2020-01-15 03:45:00,,,,,,,,3.56,,,
2020-01-15 04:00:00,,,,,,,,3.32,,,
2020-01-15 04:15:00,,,,,,,,4.32,,,
2020-01-15 04:30:00,,,,,,,,4.76,,,
2020-01-15 04:45:00,,,,,,,,4.6,,,
2020-01-15 05:00:00,,,,,,,,4.68,,,
2020-01-15 05:15:00,,,,,,,,5.36,,,
2020-01-15 05:30:00,,,,,,,,5.2,,,
2020-01-15 05:45:00,,,,,,,,6.4,,,
2020-01-15 06:00:00,,,,,,,,8.12,,,
2020-01-15 06:15:00,,,,,,,,10.4,,,
2020-01-15 06:30:00,,,,,,,,11.12,,,
2020-01-15 06:45:00,,,,,,,,12.24,,,
2020-01-15 07:00:00,,,,,,,,12.36,,,
2020-01-15 07:15:00,,,,,,,,16.48,,,
2020-01-15 07:30:00,,,,,,,,18.92,,,
2020-01-15 07:45:00,,,,,,,,16.4,,,
2020-01-15 08:00:00,,,,,,,,16.2,,,
2020-01-15 08:15:00,,,,,,,,18.32,,,
2020-01-15 08:30:00,,,,,,,,17.24,,,
2020-01-15 08:45:00,,,,,,,,15.68,,,
2020-01-15 09:00:00,,,,,,,,14.96,,,
2020-01-15 09:15:00,,,,,,,,15.88,,,
2020-01-15 09:30:00,,,,,,,,14.24,,,
2020-01-15 09:45:00,,,,,,,,16.28,,,
2020-01-15 10:00:00,,,,,,,,16.2,,,
2020-01-15 10:15:00,,,,,,,,16.16,,,
2020-01-15 10:30:00,,,,,,,,16.64,,,
2020-01-15 10:45:00,,,,,,,,18.44,,,
2020-01-15 11:00:00,,,,,,,,16.6,,,
2020-01-15 11:15:00,,,,,,,,16.12,,,
2020-01-15 11:30:00,,,,,,,,15.16,,,
2020-01-15 11:45:00,,,,,,,,16.16,,,
2020-01-15 12:00:00,,,,,,,,14.44,,,
2020-01-15 12:15:00,,,,,,,,14.72,,,
2020-01-15 12:30:00,,,,,,,,12.72,,,
2020-01-15 12:45:00,,,,,,,,15.52,,,
2020-01-15 13:00:00,,,,,,,,14.4,,,
2020-01-15 13:15:00,,,,,,,,16.36,,,
2020-01-15 13:30:00,,,,,,,,15.44,,,
2020-01-15 13:45:00,,,,,,,,15.24,,,
2020-01-15 14:00:00,,,,,,,,12.52,,,
2020-01-15 14:15:00,,,,,,,,12.32,,,
2020-01-15 14:30:00,,,,,,,,11.52,,,
2020-01-15 14:45:00,,,,,,,,11,,,
2020-01-15 15:00:00,,,,,,,,14.68,,,
2020-01-15 15:15:00,,,,,,,,11.2,,,
2020-01-15 15:30:00,,,,,,,,10.36,,,
2020-01-15 15:45:00,,,,,,,,13.52,,,
2020-01-15 16:00:00,,,,,,,,12.96,,,
2020-01-15 16:15:00,,,,,,,,14.32,,,
2020-01-15 16:30:00,,,,,,,,16.88,,,
2020-01-15 16:45:00,,,,,,,,17.44,,,
2020-01-15 17:00:00,,,,,,,,18.72,,,
2020-01-15 17:15:00,,,,,,,,18.96,,,
2020-01-15 17:30:00,,,,,,,,18.6,,,
2020-01-15 17:45:00,,,,,,,,18.32,,,
2020-01-15 18:00:00,,,,,,,,21.32,,,
2020-01-15 18:15:00,,,,,,,,20.88,,,
2020-01-15 18:30:00,,,,,,,,20.24,,,
2020-01-15 18:45:00,,,,,,,,21,,,
2020-01-15 19:00:00,,,,,,,,18.8,,,
2020-01-15 19:15:00,,,,,,,,21.28,,,
2020-01-15 19:30:00,,,,,,,,21.04,,,
2020-01-15 19:45:00,,,,,,,,22.04,,,
2020-01-15 20:00:00,,,,,,,,19.16,,,
2020-01-15 20:15:00,,,,,,,,19.48,,,
2020-01-15 20:30:00,,,,,,,,18.84,,,
2020-01-15 20:45:00,,,,,,,,16.36,,,
2020-01-15 21:00:00,,,,,,,,13.8,,,
2020-01-15 21:15:00,,,,,,,,14.08,,,
2020-01-15 21:30:00,,,,,,,,11.24,,,
2020-01-15 21:45:00,,,,,,,,12.44,,,
2020-01-15 22:00:00,,,,,,,,9.68,,,
2020-01-15 22:15:00,,,,,,,,13.08,,,
2020-01-15 22:30:00,,,,,,,,13.32,,,
2020-01-15 22:45:00,,,,,,,,9.92,,,
2020-01-15 23:00:00,,,,,,,,9.56,,,
2020-01-15 23:15:00,,,,,,,,11.16,,,
2020-01-15 23:30:00,,,,,,,,8.28,,,
2020-01-15 23:45:00,,,,,,,,6.04,,,
2020-01-16 00:00:00,,,,,,,,5.52,,,
2020-01-16 00:15:00,,,,,,,,5.68,,,
2020-01-16 00:30:00,,,,,,,,4.68,,,
2020-01-16 00:45:00,,,,,,,,4.96,,,
2020-01-16 01:00:00,,,,,,,,4,,,
2020-01-16 01:15:00,,,,,,,,4,,,
2020-01-16 01:30:00,,,,,,,,3.64,,,
2020-01-16 01:45:00,,,,,,,,3.36,,,
2020-01-16 02:00:00,,,,,,,,3.4,,,
2020-01-16 02:15:00,,,,,,,,3.76,,,
2020-01-16 02:30:00,,,,,,,,4.08,,,
2020-01-16 02:45:00,,,,,,,,3.76,,,
2020-01-16 03:00:00,,,,,,,,3.4,,,
2020-01-16 03:15:00,,,,,,,,3.4,,,
2020-01-16 03:30:00,,,,,,,,3.16,,,
2020-01-16 03:45:00,,,,,,,,3.4,,,
2020-01-16 04:00:00,,,,,,,,3.28,,,
2020-01-16 04:15:00,,,,,,,,4.08,,,
2020-01-16 04:30:00,,,,,,,,4.32,,,
2020-01-16 04:45:00,,,,,,,,4.12,,,
2020-01-16 05:00:00,,,,,,,,4.52,,,
2020-01-16 05:15:00,,,,,,,,5.52,,,
2020-01-16 05:30:00,,,,,,,,5.32,,,
2020-01-16 05:45:00,,,,,,,,6.8,,,
2020-01-16 06:00:00,,,,,,,,7.4,,,
2020-01-16 06:15:00,,,,,,,,10.36,,,
2020-01-16 06:30:00,,,,,,,,10.76,,,
2020-01-16 06:45:00,,,,,,,,12.48,,,
2020-01-16 07:00:00,,,,,,,,13,,,
2020-01-16 07:15:00,,,,,,,,16.04,,,
2020-01-16 07:30:00,,,,,,,,19.64,,,
2020-01-16 07:45:00,,,,,,,,16.08,,,
2020-01-16 08:00:00,,,,,,,,17.08,,,
2020-01-16 08:15:00,,,,,,,,16.72,,,
2020-01-16 08:30:00,,,,,,,,15.48,,,
2020-01-16 08:45:00,,,,,,,,13.92,,,
2020-01-16 09:00:00,,,,,,,,13.6,,,
2020-01-16 09:15:00,,,,,,,,15.16,,,
2020-01-16 09:30:00,,,,,,,,14.36,,,
2020-01-16 09:45:00,,,,,,,,16.88,,,
2020-01-16 10:00:00,,,,,,,,15.56,,,
2020-01-16 10:15:00,,,,,,,,16.04,,,
2020-01-16 10:30:00,,,,,,,,16.32,,,
2020-01-16 10:45:00,,,,,,,,16.12,,,
2020-01-16 11:00:00,,,,,,,,16.08,,,
2020-01-16 11:15:00,,,,,,,,16.32,,,
2020-01-16 11:30:00,,,,,,,,17.72,,,
2020-01-16 11:45:00,,,,,,,,15.68,,,
2020-01-16 12:00:00,,,,,,,,14.04,,,
2020-01-16 12:15:00,,,,,,,,13.4,,,
2020-01-16 12:30:00,,,,,,,,15.16,,,
2020-01-16 12:45:00,,,,,,,,14.64,,,
2020-01-16 13:00:00,,,,,,,,14.92,,,
2020-01-16 13:15:00,,,,,,,,15.12,,,
2020-01-16 13:30:00,,,,,,,,15.2,,,
2020-01-16 13:45:00,,,,,,,,13.44,,,
2020-01-16 14:00:00,,,,,,,,13.16,,,
2020-01-16 14:15:00,,,,,,,,11.2,,,
2020-01-16 14:30:00,,,,,,,,11.96,,,
2020-01-16 14:45:00,,,,,,,,12.92,,,
2020-01-16 15:00:00,,,,,,,,11.48,,,
2020-01-16 15:15:00,,,,,,,,10.96,,,
2020-01-16 15:30:00,,,,,,,,11.44,,,
2020-01-16 15:45:00,,,,,,,,14.04,,,
2020-01-16 16:00:00,,,,,,,,15.24,,,
2020-01-16 16:15:00,,,,,,,,13.76,,,
2020-01-16 16:30:00,,,,,,,,15.64,,,
2020-01-16 16:45:00,,,,,,,,18.08,,,
2020-01-16 17:00:00,,,,,,,,19.4,,,
2020-01-16 17:15:00,,,,,,,,19.84,,,
2020-01-16 17:30:00,,,,,,,,18.2,,,
2020-01-16 17:45:00,,,,,,,,20.48,,,
2020-01-16 18:00:00,,,,,,,,20.04,,,
2020-01-16 18:15:00,,,,,,,,20.76,,,
2020-01-16 18:30:00,,,,,,,,20.08,,,
2020-01-16 18:45:00,,,,,,,,19.8,,,
2020-01-16 19:00:00,,,,,,,,19.24,,,
2020-01-16 19:15:00,,,,,,,,17.88,,,
2020-01-16 19:30:00,,,,,,,,18.2,,,
2020-01-16 19:45:00,,,,,,,,20,,,
2020-01-16 20:00:00,,,,,,,,18.24,,,
2020-01-16 20:15:00,,,,,,,,19.24,,,
2020-01-16 20:30:00,,,,,,,,15.4,,,
2020-01-16 20:45:00,,,,,,,,17.76,,,
2020-01-16 21:00:00,,,,,,,,16.52,,,
2020-01-16 21:15:00,,,,,,,,15.96,,,
2020-01-16 21:30:00,,,,,,,,13.32,,,
2020-01-16 21:45:00,,,,,,,,11.64,,,
2020-01-16 22:00:00,,,,,,,,11.08,,,
2020-01-16 22:15:00,,,,,,,,13.2,,,
2020-01-16 22:30:00,,,,,,,,12.28,,,
2020-01-16 22:45:00,,,,,,,,8.6,,,
2020-01-16 23:00:00,,,,,,,,9.08,,,
2020-01-16 23:15:00,,,,,,,,7.56,,,
2020-01-16 23:30:00,,,,,,,,7.76,,,
2020-01-16 23:45:00,,,,,,,,6.76,,,
2020-01-17 00:00:00,,,,,,,,6.44,,,
2020-01-17 00:15:00,,,,,,,,5.68,,,
2020-01-17 00:30:00,,,,,,,,5.4,,,
2020-01-17 00:45:00,,,,,,,,4.6,,,
2020-01-17 01:00:00,,,,,,,,4.52,,,
2020-01-17 01:15:00,,,,,,,,4.56,,,
2020-01-17 01:30:00,,,,,,,,4,,,
2020-01-17 01:45:00,,,,,,,,4.04,,,
2020-01-17 02:00:00,,,,,,,,4,,,
2020-01-17 02:15:00,,,,,,,,4.12,,,
2020-01-17 02:30:00,,,,,,,,3.44,,,
2020-01-17 02:45:00,,,,,,,,3.56,,,
2020-01-17 03:00:00,,,,,,,,3,,,
2020-01-17 03:15:00,,,,,,,,3.4,,,
2020-01-17 03:30:00,,,,,,,,3.8,,,
2020-01-17 03:45:00,,,,,,,,3.6,,,
2020-01-17 04:00:00,,,,,,,,4,,,
2020-01-17 04:15:00,,,,,,,,3.96,,,
2020-01-17 04:30:00,,,,,,,,4.56,,,
2020-01-17 04:45:00,,,,,,,,4.08,,,
2020-01-17 05:00:00,,,,,,,,4.84,,,
2020-01-17 05:15:00,,,,,,,,5.32,,,
2020-01-17 05:30:00,,,,,,,,5.44,,,
2020-01-17 05:45:00,,,,,,,,5.92,,,
2020-01-17 06:00:00,,,,,,,,7.52,,,
2020-01-17 06:15:00,,,,,,,,10.4,,,
2020-01-17 06:30:00,,,,,,,,9.64,,,
2020-01-17 06:45:00,,,,,,,,15.08,,,
2020-01-17 07:00:00,,,,,,,,14.48,,,
2020-01-17 07:15:00,,,,,,,,17.88,,,
2020-01-17 07:30:00,,,,,,,,17.84,,,
2020-01-17 07:45:00,,,,,,,,19.24,,,
2020-01-17 08:00:00,,,,,,,,17.64,,,
2020-01-17 08:15:00,,,,,,,,17.32,,,
2020-01-17 08:30:00,,,,,,,,15.96,,,
2020-01-17 08:45:00,,,,,,,,15.2,,,
2020-01-17 09:00:00,,,,,,,,15.12,,,
2020-01-17 09:15:00,,,,,,,,14.28,,,
2020-01-17 09:30:00,,,,,,,,13.36,,,
2020-01-17 09:45:00,,,,,,,,13.44,,,
2020-01-17 10:00:00,,,,,,,,16.08,,,
2020-01-17 10:15:00,,,,,,,,15.88,,,
2020-01-17 10:30:00,,,,,,,,14.72,,,
2020-01-17 10:45:00,,,,,,,,15.12,,,
2020-01-17 11:00:00,,,,,,,,15.2,,,
2020-01-17 11:15:00,,,,,,,,16.96,,,
2020-01-17 11:30:00,,,,,,,,14.76,,,
2020-01-17 11:45:00,,,,,,,,15.6,,,
2020-01-17 12:00:00,,,,,,,,14.2,,,
2020-01-17 12:15:00,,,,,,,,15.84,,,
2020-01-17 12:30:00,,,,,,,,16.96,,,
2020-01-17 12:45:00,,,,,,,,16.04,,,
2020-01-17 13:00:00,,,,,,,,14.52,,,
2020-01-17 13:15:00,,,,,,,,16.4,,,
2020-01-17 13:30:00,,,,,,,,15.08,,,
2020-01-17 13:45:00,,,,,,,,11.84,,,
2020-01-17 14:00:00,,,,,,,,11.64,,,
2020-01-17 14:15:00,,,,,,,,12.04,,,
2020-01-17 14:30:00,,,,,,,,15.08,,,
2020-01-17 14:45:00,,,,,,,,14.2,,,
2020-01-17 15:00:00,,,,,,,,12.6,,,
2020-01-17 15:15:00,,,,,,,,13.48,,,
2020-01-17 15:30:00,,,,,,,,13.04,,,
2020-01-17 15:45:00,,,,,,,,12.6,,,
2020-01-17 16:00:00,,,,,,,,16.36,,,
2020-01-17 16:15:00,,,,,,,,16.8,,,
2020-01-17 16:30:00,,,,,,,,15.36,,,
2020-01-17 16:45:00,,,,,,,,14.92,,,
2020-01-17 17:00:00,,,,,,,,17.36,,,
2020-01-17 17:15:00,,,,,,,,18.92,,,
2020-01-17 17:30:00,,,,,,,,15.88,,,
2020-01-17 17:45:00,,,,,,,,19.32,,,
2020-01-17 18:00:00,,,,,,,,21.12,,,
2020-01-17 18:15:00,,,,,,,,21.04,,,
2020-01-17 18:30:00,,,,,,,,18.32,,,
2020-01-17 18:45:00,,,,,,,,16.96,,,
2020-01-17 19:00:00,,,,,,,,16.84,,,
2020-01-17 19:15:00,,,,,,,,18.72,,,
2020-01-17 19:30:00,,,,,,,,15.04,,,
2020-01-17 19:45:00,,,,,,,,17.2,,,
2020-01-17 20:00:00,,,,,,,,17.6,,,
2020-01-17 20:15:00,,,,,,,,18.44,,,
2020-01-17 20:30:00,,,,,,,,18.36,,,
2020-01-17 20:45:00,,,,,,,,16.32,,,
